timestep;MFH_A_0;MFH_A_1;MFH_A_2;MFH_B_0;MFH_B_1;MFH_B_2;MFH_C_0;MFH_C_1;MFH_C_2;MFH_D_0;MFH_D_1;MFH_D_2;MFH_E_0;MFH_E_1;MFH_E_2;MFH_F_0;MFH_F_1;MFH_F_2;MFH_G_0;MFH_G_1;MFH_G_2;MFH_H_0;MFH_H_1;MFH_H_2;MFH_I_0;MFH_I_1;MFH_I_2;MFH_J_0;MFH_J_1;MFH_J_2
8381.25;603.536;470.483;386.957;730.578;414.093;313.808;332.368;522.029;403.336;592.373;560.472;437.345;388.601;503.976;412.175;442.616;741.905;406.289;291.416;586.776;283.161;299.789;680.306;461.249;332.501;394.383;591.324;533.938;313.729;518.658
8381.5;408.035;343.0;437.721;603.682;392.883;329.62;458.094;297.903;354.08;771.756;2209.584;614.474;388.601;834.88;280.484;467.103;401.22;480.702;365.956;1417.514;582.006;299.789;437.2;307.066;517.046;723.179;747.045;2543.551;232.611;638.912
8381.75;301.418;664.748;338.694;390.373;812.577;597.014;416.626;548.056;504.401;637.613;2383.206;807.245;325.796;1837.112;280.484;370.625;451.276;432.663;505.007;1825.822;518.97;593.448;402.897;307.066;565.018;443.363;792.487;2180.71;382.688;393.8
8382.0;396.81;680.829;359.631;391.073;1103.328;641.425;495.51;297.903;589.379;781.65;301.948;516.835;395.538;2245.466;425.343;370.625;662.121;898.898;384.836;2514.682;392.497;391.563;416.985;401.488;685.74;480.136;488.606;2422.983;464.226;393.8
8382.25;621.381;430.549;630.28;456.663;564.299;420.378;542.841;297.903;621.794;539.649;1787.969;354.972;332.68;2143.344;297.791;598.293;671.478;2560.913;469.501;645.764;564.361;391.563;702.702;376.66;1301.556;712.767;461.687;2701.895;410.551;393.8
8382.5;621.381;4105.301;480.697;1509.603;515.317;474.046;786.961;343.22;425.471;418.115;459.221;676.645;1372.489;679.008;550.868;424.753;479.668;2237.465;291.416;572.583;2352.103;330.648;349.368;400.961;1639.955;370.622;813.469;1640.192;374.938;551.216
8382.75;301.418;855.944;374.615;1583.122;659.372;474.046;1051.619;2089.128;512.344;332.648;2418.729;1679.007;1411.34;560.948;452.946;451.628;376.506;3866.001;571.724;642.693;567.807;621.77;527.326;670.935;718.893;504.468;691.109;1698.014;1987.912;396.873
8383.0;592.509;1303.572;387.237;915.529;605.675;329.759;4641.656;2350.191;492.706;2700.914;2332.116;1821.245;571.448;562.541;350.773;608.565;534.198;4210.113;503.644;3267.937;996.487;764.007;719.221;662.978;610.389;3018.536;729.737;3341.85;985.33;422.48
8383.25;436.655;1144.829;437.766;870.392;522.522;948.598;5332.49;1259.95;1724.153;2854.901;2440.484;1870.906;672.847;517.534;569.082;555.312;586.964;937.428;2065.738;1407.42;1969.079;712.434;1078.575;914.265;2738.661;819.64;673.378;958.598;1656.921;751.06
8383.5;6968.958;791.68;2229.9;1047.242;2240.02;1070.264;1495.331;2313.833;4522.748;2819.294;2612.888;979.084;482.357;724.388;2802.955;537.145;961.73;1924.309;791.314;1486.34;935.681;854.496;737.231;1022.915;2748.791;4694.919;810.571;1012.622;1006.962;811.748
8383.75;1337.078;665.923;2397.969;2609.089;2255.317;882.077;5497.57;1069.441;6571.659;1856.798;2667.112;2973.309;2878.504;642.162;2915.818;2751.393;856.23;4096.553;650.27;1202.6;2261.065;3338.458;761.052;2018.136;1047.069;5010.015;708.799;914.447;1215.924;594.318
8384.0;3349.505;970.085;2809.839;1713.329;543.796;4405.508;3593.951;957.103;2285.382;3478.985;3152.141;1894.858;3413.002;884.756;3223.799;6715.251;832.788;2157.344;663.925;693.173;1969.319;611.69;2180.995;2248.406;1331.842;2729.059;789.837;2994.502;3782.157;708.136
8384.25;1206.12;2228.092;445.401;1111.365;395.962;1964.51;2355.236;2559.792;1507.924;3175.622;567.559;5046.004;4540.458;659.911;5780.336;4889.772;5612.285;1814.514;907.206;2257.375;3677.579;767.634;2285.371;4187.985;1250.929;3243.749;1901.122;5212.629;2787.313;740.429
8384.5;2505.036;4154.631;503.467;2246.171;441.325;3938.013;2094.663;2858.812;1410.158;5320.461;1556.68;2285.902;2371.433;550.415;3699.65;7145.804;3811.611;920.877;1616.891;473.545;5742.327;883.05;1099.176;2061.793;1257.824;2999.154;1746.607;2047.658;2211.517;918.894
8384.75;4312.036;4716.375;2994.225;1031.227;757.311;3314.449;3150.3;2253.173;2627.79;1965.478;579.047;1723.364;2640.834;733.112;3060.51;2609.522;2071.048;1367.772;566.684;395.512;3551.442;588.459;1381.277;917.812;3635.181;5288.308;860.834;4308.957;631.088;1230.66
8385.0;2805.119;2560.664;4459.055;1026.537;788.843;2645.473;4280.577;5505.828;4400.843;1443.851;780.951;3768.348;949.937;2164.864;1986.887;828.32;1913.453;4025.334;638.786;798.279;3782.905;681.167;6147.888;2351.546;6622.494;6346.563;930.334;689.722;1112.491;854.244
8385.25;1122.604;1341.441;777.638;1019.33;1093.923;1240.617;3810.453;2855.354;3103.758;1428.186;775.282;4106.821;3312.47;1234.527;1788.678;2309.968;630.348;2232.985;966.155;637.603;4685.029;786.432;907.57;735.594;6293.241;2409.368;2001.245;638.943;5025.251;1141.272
8385.5;619.814;1170.981;1078.181;909.291;624.997;1057.171;3739.521;2232.332;1041.7;1367.402;646.912;5075.902;1235.8;787.544;1001.185;2393.962;671.325;2061.707;2279.595;1032.508;2749.169;2670.258;442.432;2953.187;3535.419;4106.345;2635.122;827.361;1115.854;793.018
8385.75;895.924;1707.873;752.4;1003.405;857.907;1300.521;3465.825;1517.338;2612.637;1665.993;462.714;4016.358;943.942;970.336;667.616;728.865;962.736;2330.625;4267.021;496.828;6073.521;2354.689;443.144;742.064;2518.387;1432.853;2092.131;974.742;2650.841;1303.437
8386.0;842.999;1922.768;744.912;1690.076;822.041;1149.186;4066.164;3360.742;3068.141;1612.057;674.86;4545.747;921.965;798.327;704.748;765.141;757.029;753.811;2818.587;2651.903;5320.307;3725.909;587.414;991.603;1101.699;3014.995;2804.102;1442.516;719.522;1253.141
